Group,HomePlanet,CryoSleep,Deck,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported
0056,2.0,1.0,1.0,1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0056,2.0,0.0,1.0,1.0,27.0,0.0,279.0,605.0,3374.0,286.0,3.0,True
0058,1.0,1.0,7.0,2.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0061,1.0,0.0,6.0,1.0,22.0,0.0,45.0,1096.0,148.0,1377.0,1.0,False
0062,1.0,0.0,6.0,1.0,62.0,0.0,0.0,592.0,0.0,17.0,25.0,False
0064,3.0,1.0,6.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0066,1.0,0.0,7.0,1.0,62.0,0.0,1.0,153.0,197.0,0.0,460.0,False
0067,1.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0067,1.0,0.0,7.0,1.0,18.0,0.0,1.0,258.0,446.0,0.0,0.0,True
0067,1.0,0.0,6.0,3.0,21.0,0.0,1946.0,37.0,0.0,0.0,24.0,False
0069,1.0,0.0,6.0,1.0,42.0,0.0,887.0,0.0,9.0,6.0,0.0,True
0070,1.0,0.0,6.0,1.0,19.0,0.0,190.0,0.0,5.0,1.0,726.0,False
0071,1.0,0.0,6.0,1.0,17.0,0.0,16.0,2165.0,0.0,0.0,52.0,False
0072,1.0,0.0,6.0,1.0,14.0,0.0,0.0,1.0,0.0,0.0,1063.0,False
0073,3.0,0.0,4.0,2.0,37.0,0.0,46.0,83.0,738.0,0.0,12.0,False
0074,2.0,0.0,3.0,1.0,42.0,0.0,1.0,8397.0,0.0,0.0,506.0,True
0076,3.0,0.0,6.0,1.0,27.0,0.0,147.0,0.0,1018.0,0.0,0.0,True
0077,3.0,0.0,6.0,1.0,28.0,0.0,14.0,0.0,1295.0,0.0,0.0,True
0078,2.0,0.0,3.0,1.0,38.0,0.0,0.0,5840.0,0.0,321.0,9654.0,False
0081,1.0,1.0,7.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0082,3.0,0.0,6.0,1.0,42.0,0.0,7406.0,0.0,0.0,0.0,0.0,False
0082,3.0,1.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0082,3.0,0.0,6.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0084,1.0,0.0,7.0,1.0,24.0,0.0,688.0,0.0,0.0,0.0,17.0,True
0085,2.0,1.0,3.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0086,1.0,0.0,6.0,1.0,43.0,0.0,211.0,0.0,0.0,638.0,513.0,False
0088,3.0,1.0,5.0,2.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0090,1.0,1.0,7.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0091,1.0,1.0,7.0,1.0,26.0,0.0,137.0,0.0,0.0,0.0,0.0,True
0091,1.0,0.0,6.0,1.0,27.0,0.0,1.0,697.0,31.0,188.0,0.0,False
0092,1.0,0.0,7.0,1.0,19.0,0.0,0.0,0.0,670.0,1.0,34.0,False
0092,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,True
0092,1.0,1.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0097,2.0,0.0,1.0,1.0,54.0,0.0,0.0,1208.0,0.0,3.0,637.0,False
0098,1.0,0.0,7.0,1.0,26.0,0.0,0.0,856.0,5.0,32.0,0.0,False
0098,1.0,0.0,7.0,1.0,26.0,0.0,0.0,2811.0,957.0,0.0,87.0,True
0099,1.0,0.0,6.0,2.0,23.0,0.0,311.0,427.0,526.0,37.0,0.0,False
0101,3.0,1.0,6.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0102,1.0,0.0,6.0,1.0,18.0,0.0,0.0,0.0,0.0,830.0,91.0,False
0103,1.0,0.0,6.0,1.0,24.0,0.0,0.0,137.0,0.0,0.0,17.0,True
0103,1.0,1.0,7.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0103,1.0,1.0,7.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0105,1.0,0.0,6.0,1.0,27.0,0.0,0.0,0.0,570.0,2.0,131.0,False
0107,3.0,0.0,4.0,1.0,21.0,0.0,1743.0,5.0,17.0,0.0,0.0,False
0108,1.0,1.0,7.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0108,1.0,0.0,7.0,1.0,31.0,0.0,562.0,0.0,326.0,0.0,0.0,False
0110,2.0,0.0,2.0,1.0,40.0,0.0,0.0,331.0,0.0,0.0,1687.0,False
0110,2.0,0.0,2.0,1.0,42.0,0.0,2209.0,11418.0,0.0,1868.0,445.0,True
0110,2.0,1.0,2.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0111,2.0,1.0,5.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0112,2.0,0.0,2.0,3.0,48.0,1.0,0.0,2537.0,87.0,17.0,13.0,True
0113,1.0,0.0,6.0,1.0,64.0,0.0,0.0,0.0,804.0,0.0,0.0,True
0114,1.0,0.0,7.0,1.0,27.0,0.0,82.0,157.0,429.0,238.0,1.0,False
0115,3.0,0.0,6.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,47.0,True
0116,2.0,0.0,4.0,1.0,33.0,0.0,1.0,2223.0,0.0,12.0,404.0,True
0119,2.0,0.0,1.0,1.0,39.0,0.0,0.0,2344.0,0.0,65.0,6898.0,False
0119,2.0,1.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0120,3.0,1.0,6.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,47.0,True
0122,1.0,0.0,7.0,1.0,29.0,0.0,0.0,0.0,0.0,699.0,74.0,False
0123,1.0,0.0,6.0,1.0,18.0,0.0,55.0,597.0,49.0,0.0,1.0,False
0126,3.0,1.0,6.0,1.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0127,3.0,0.0,5.0,1.0,35.0,0.0,701.0,0.0,296.0,0.0,25.0,False
0128,3.0,0.0,4.0,1.0,61.0,1.0,2353.0,334.0,9.0,316.0,2.0,False
0128,3.0,0.0,5.0,1.0,45.0,0.0,2103.0,6.0,0.0,0.0,0.0,False
0129,1.0,1.0,7.0,2.0,22.0,0.0,0.0,0.0,133.0,0.0,0.0,True
0133,3.0,1.0,6.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0133,3.0,0.0,4.0,1.0,36.0,0.0,2738.0,0.0,0.0,0.0,0.0,False
0134,1.0,0.0,7.0,1.0,19.0,0.0,0.0,14.0,730.0,0.0,0.0,True
0136,1.0,0.0,7.0,2.0,47.0,0.0,97.0,418.0,126.0,25.0,55.0,False
0138,1.0,1.0,7.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0138,1.0,0.0,5.0,1.0,34.0,0.0,0.0,22.0,0.0,564.0,207.0,False
0139,2.0,1.0,3.0,3.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0140,1.0,1.0,7.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0140,1.0,0.0,6.0,1.0,26.0,0.0,440.0,0.0,0.0,0.0,462.0,False
0141,3.0,0.0,6.0,1.0,31.0,0.0,553.0,0.0,97.0,0.0,0.0,False
0144,1.0,0.0,6.0,1.0,20.0,0.0,0.0,420.0,210.0,0.0,0.0,True
0146,1.0,0.0,7.0,1.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0147,1.0,1.0,7.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0148,3.0,0.0,6.0,1.0,42.0,0.0,1072.0,0.0,10.0,0.0,76.0,False
0151,1.0,1.0,7.0,3.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0152,1.0,0.0,6.0,1.0,41.0,0.0,0.0,0.0,0.0,0.0,607.0,False
0160,1.0,0.0,7.0,1.0,22.0,0.0,4119.0,0.0,0.0,0.0,61.0,False
0163,2.0,1.0,2.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0163,2.0,1.0,2.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0164,1.0,0.0,7.0,1.0,57.0,0.0,50.0,1688.0,0.0,142.0,135.0,True
0164,1.0,1.0,7.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0167,3.0,1.0,6.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0167,3.0,0.0,6.0,1.0,27.0,0.0,1365.0,0.0,48.0,22.0,137.0,False
0169,1.0,1.0,7.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0170,1.0,0.0,5.0,1.0,24.0,0.0,0.0,0.0,0.0,221.0,567.0,False
0171,1.0,1.0,7.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0172,1.0,1.0,7.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0173,1.0,0.0,5.0,1.0,58.0,0.0,0.0,985.0,0.0,5.0,0.0,True
0174,1.0,0.0,6.0,3.0,21.0,0.0,287.0,0.0,16.0,115.0,175.0,False
0177,2.0,0.0,2.0,1.0,38.0,0.0,0.0,10346.0,1.0,14970.0,2111.0,False
0178,3.0,0.0,4.0,1.0,38.0,0.0,3414.0,0.0,161.0,28.0,119.0,False
0179,1.0,0.0,7.0,1.0,19.0,0.0,1.0,219.0,673.0,2.0,11.0,True
0179,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0179,1.0,0.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0181,1.0,0.0,7.0,1.0,20.0,0.0,0.0,0.0,3.0,299.0,92.0,False
0182,2.0,1.0,3.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0183,1.0,0.0,6.0,1.0,37.0,0.0,17.0,146.0,426.0,0.0,232.0,True
0186,1.0,0.0,7.0,1.0,25.0,0.0,62.0,0.0,0.0,0.0,956.0,False
0188,1.0,1.0,7.0,1.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0189,1.0,0.0,5.0,3.0,49.0,0.0,84.0,3.0,401.0,202.0,98.0,False
0190,1.0,1.0,7.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0192,1.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0192,1.0,0.0,7.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0192,1.0,0.0,7.0,1.0,39.0,0.0,0.0,0.0,10.0,898.0,0.0,False
0193,3.0,1.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0193,3.0,0.0,6.0,1.0,23.0,0.0,553.0,0.0,8.0,1072.0,0.0,False
0193,3.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0195,3.0,0.0,6.0,1.0,39.0,0.0,406.0,0.0,867.0,0.0,0.0,True
0196,3.0,0.0,4.0,2.0,25.0,0.0,1052.0,0.0,719.0,0.0,7.0,False
0197,2.0,0.0,3.0,1.0,36.0,0.0,0.0,972.0,0.0,795.0,575.0,False
0199,1.0,1.0,7.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0200,1.0,1.0,7.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0201,2.0,1.0,2.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0201,2.0,1.0,2.0,1.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0202,2.0,1.0,2.0,3.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0203,2.0,1.0,3.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0205,1.0,0.0,7.0,1.0,29.0,0.0,0.0,2.0,66.0,0.0,705.0,False
0207,1.0,1.0,7.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0211,3.0,0.0,6.0,1.0,29.0,0.0,902.0,1.0,137.0,0.0,0.0,True
0211,3.0,1.0,6.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0211,3.0,0.0,6.0,1.0,17.0,0.0,848.0,0.0,307.0,182.0,0.0,False
0212,1.0,0.0,5.0,1.0,13.0,0.0,192.0,0.0,0.0,51.0,739.0,False
0212,1.0,0.0,6.0,1.0,35.0,0.0,147.0,188.0,0.0,10.0,387.0,False
0213,1.0,0.0,6.0,1.0,21.0,0.0,367.0,281.0,0.0,0.0,146.0,False
0216,1.0,0.0,6.0,3.0,21.0,0.0,0.0,56.0,0.0,0.0,1918.0,False
0217,1.0,0.0,6.0,1.0,38.0,0.0,1517.0,0.0,0.0,27.0,0.0,False
0219,1.0,1.0,7.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0220,1.0,1.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0220,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0220,1.0,1.0,7.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0220,1.0,0.0,5.0,1.0,25.0,0.0,122.0,84.0,133.0,0.0,0.0,False
0220,1.0,0.0,6.0,1.0,16.0,0.0,0.0,3.0,0.0,0.0,1099.0,False
0220,1.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0220,1.0,1.0,7.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0221,3.0,0.0,5.0,3.0,21.0,0.0,2237.0,0.0,119.0,0.0,0.0,False
0221,3.0,0.0,5.0,1.0,23.0,0.0,1215.0,80.0,1.0,2.0,0.0,False
0221,3.0,0.0,5.0,1.0,33.0,0.0,1933.0,12.0,188.0,1.0,0.0,False
0221,3.0,1.0,5.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0221,3.0,0.0,5.0,1.0,41.0,0.0,1230.0,0.0,301.0,43.0,1023.0,False
0221,3.0,0.0,5.0,1.0,16.0,0.0,915.0,0.0,221.0,234.0,0.0,False
0221,3.0,1.0,5.0,1.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0222,3.0,0.0,6.0,1.0,20.0,0.0,1406.0,0.0,0.0,11.0,0.0,False
0222,3.0,1.0,6.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0222,3.0,1.0,5.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0223,1.0,0.0,7.0,1.0,21.0,0.0,0.0,2.0,665.0,0.0,9.0,False
0224,3.0,0.0,6.0,1.0,32.0,1.0,181.0,0.0,5.0,1634.0,0.0,False
0225,1.0,1.0,7.0,2.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0229,1.0,0.0,6.0,1.0,24.0,0.0,4.0,7.0,0.0,713.0,79.0,False
0231,3.0,0.0,6.0,1.0,30.0,0.0,85.0,0.0,1.0,1720.0,0.0,False
0232,1.0,1.0,7.0,2.0,27.0,0.0,0.0,137.0,0.0,0.0,0.0,False
0233,3.0,0.0,6.0,1.0,32.0,0.0,56.0,0.0,256.0,1438.0,0.0,False
0234,1.0,0.0,6.0,1.0,43.0,0.0,137.0,888.0,0.0,0.0,0.0,False
0237,2.0,1.0,2.0,1.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0239,3.0,0.0,6.0,1.0,37.0,0.0,637.0,0.0,0.0,92.0,319.0,False
0240,3.0,1.0,6.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0241,2.0,0.0,5.0,3.0,33.0,0.0,0.0,1249.0,0.0,4812.0,1116.0,False
0243,1.0,1.0,7.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0244,3.0,1.0,6.0,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0245,2.0,0.0,3.0,3.0,46.0,0.0,0.0,3571.0,0.0,0.0,7.0,True
0245,2.0,0.0,3.0,1.0,33.0,0.0,0.0,86.0,796.0,584.0,10912.0,False
0246,3.0,0.0,4.0,1.0,21.0,0.0,2947.0,0.0,287.0,27.0,0.0,False
0248,2.0,0.0,3.0,1.0,33.0,0.0,0.0,1.0,0.0,8620.0,1063.0,False
0250,1.0,1.0,7.0,2.0,47.0,0.0,137.0,0.0,0.0,0.0,0.0,False
0251,2.0,1.0,3.0,3.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0252,1.0,0.0,6.0,1.0,30.0,0.0,335.0,695.0,541.0,0.0,0.0,False
0253,1.0,0.0,7.0,1.0,29.0,0.0,272.0,615.0,0.0,0.0,1.0,False
0254,1.0,0.0,6.0,1.0,21.0,0.0,702.0,172.0,408.0,2.0,6.0,True
0255,2.0,1.0,1.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0257,3.0,0.0,6.0,3.0,21.0,0.0,1664.0,0.0,308.0,0.0,0.0,False
0257,3.0,1.0,6.0,1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0258,1.0,0.0,6.0,1.0,22.0,0.0,0.0,0.0,313.0,299.0,92.0,False
0260,2.0,0.0,5.0,1.0,26.0,0.0,0.0,4810.0,0.0,981.0,2054.0,False
0261,1.0,0.0,6.0,1.0,26.0,0.0,66.0,29.0,0.0,0.0,803.0,False
0263,1.0,1.0,7.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0265,2.0,1.0,4.0,1.0,39.0,0.0,0.0,0.0,0.0,848.0,0.0,True
0267,1.0,0.0,6.0,1.0,13.0,0.0,118.0,0.0,0.0,754.0,1.0,False
0269,1.0,0.0,6.0,3.0,47.0,0.0,0.0,231.0,592.0,0.0,0.0,True
0270,1.0,0.0,6.0,1.0,63.0,0.0,0.0,25.0,128.0,0.0,1240.0,False
0277,1.0,0.0,6.0,3.0,50.0,0.0,44.0,2390.0,0.0,53.0,0.0,True
0278,1.0,0.0,7.0,1.0,45.0,0.0,0.0,97.0,0.0,14.0,333.0,False
0281,1.0,0.0,6.0,1.0,19.0,0.0,0.0,0.0,2078.0,0.0,0.0,True
0282,1.0,0.0,6.0,1.0,21.0,0.0,0.0,918.0,0.0,0.0,0.0,True
0283,1.0,1.0,7.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0283,1.0,0.0,6.0,1.0,22.0,0.0,146.0,654.0,1.0,0.0,2.0,True
0285,2.0,1.0,5.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0285,2.0,1.0,5.0,3.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0286,1.0,0.0,6.0,3.0,57.0,0.0,3.0,1281.0,29.0,162.0,13.0,False
0287,2.0,1.0,7.0,3.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0287,2.0,0.0,2.0,1.0,28.0,0.0,0.0,587.0,32.0,6.0,1460.0,False
0288,1.0,0.0,6.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,828.0,False
0289,2.0,1.0,3.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0290,2.0,0.0,2.0,3.0,26.0,0.0,0.0,4458.0,0.0,1157.0,262.0,True
0290,2.0,1.0,2.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0290,2.0,0.0,2.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0291,2.0,0.0,4.0,1.0,40.0,0.0,0.0,6500.0,88.0,1090.0,0.0,True
0294,2.0,1.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,848.0,0.0,True
0297,1.0,0.0,7.0,1.0,24.0,0.0,90.0,2.0,1324.0,17.0,0.0,True
0298,2.0,1.0,1.0,3.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0301,1.0,1.0,7.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0302,1.0,0.0,6.0,1.0,23.0,0.0,0.0,0.0,15.0,0.0,1370.0,False
0303,1.0,1.0,7.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0304,2.0,0.0,5.0,1.0,28.0,0.0,0.0,422.0,0.0,1851.0,5166.0,False
0305,2.0,0.0,3.0,3.0,23.0,0.0,0.0,584.0,0.0,20.0,2469.0,False
0306,1.0,0.0,5.0,1.0,23.0,0.0,368.0,175.0,259.0,1.0,101.0,False
0307,1.0,0.0,6.0,1.0,18.0,0.0,0.0,0.0,1359.0,0.0,0.0,True
0309,1.0,0.0,6.0,1.0,18.0,0.0,1194.0,0.0,157.0,6.0,0.0,False
0313,1.0,0.0,6.0,2.0,60.0,0.0,7.0,540.0,1.0,0.0,4.0,True
0313,1.0,0.0,6.0,3.0,49.0,0.0,331.0,0.0,0.0,318.0,0.0,True
0313,1.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0314,1.0,0.0,7.0,3.0,26.0,0.0,386.0,0.0,74.0,0.0,1330.0,False
0315,1.0,1.0,7.0,2.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0316,2.0,0.0,2.0,1.0,24.0,0.0,0.0,2628.0,151.0,170.0,0.0,True
0316,2.0,1.0,2.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,876.0,True
0320,1.0,0.0,7.0,1.0,18.0,0.0,0.0,2.0,0.0,142.0,0.0,False
0320,1.0,0.0,7.0,1.0,21.0,0.0,0.0,5.0,3.0,0.0,138.0,False
0322,1.0,1.0,7.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0324,1.0,1.0,7.0,3.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0326,1.0,1.0,7.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0330,2.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0330,2.0,0.0,3.0,1.0,32.0,0.0,247.0,4651.0,0.0,46.0,202.0,True
0330,2.0,0.0,3.0,1.0,33.0,0.0,443.0,317.0,0.0,148.0,1260.0,False
0331,1.0,0.0,6.0,1.0,25.0,0.0,0.0,0.0,251.0,0.0,552.0,False
0333,3.0,1.0,6.0,3.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0334,3.0,0.0,6.0,1.0,29.0,0.0,5715.0,2.0,211.0,1476.0,0.0,False
0336,1.0,0.0,6.0,1.0,44.0,0.0,695.0,1.0,16.0,0.0,0.0,False
0337,3.0,1.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True
